Date,Open,High,Low,Close,Volume
2025-04-17,196.94174374665747,198.56961397436802,194.16538565496842,196.72203063964844,51334300
2025-04-21,193.01688474432112,193.54618940120912,189.56140949031536,192.9070281982422,46742500
2025-04-22,195.8631544964882,201.32599215129426,195.71335703344474,199.47842407226562,52976400
2025-04-23,205.7302222309065,207.7276030292648,202.5344160012944,204.33206176757812,52929200
2025-04-24,204.62166872266098,208.5565112075726,202.67422555441442,208.09710693359375,47311000
2025-04-25,206.0997277622984,209.47530610539675,205.92995222724628,209.00592041015625,38222300
2025-04-28,209.72497582911666,211.2230113707532,207.1883090170199,209.8647918701172,38743100
2025-04-29,208.41669143858087,211.96204522644123,208.09710321217068,210.9333953857422,36827600
2025-04-30,209.02590396975114,213.30029766677714,206.399343338795,212.22171020507812,52286500
2025-05-01,208.80618155790114,214.2790004444518,208.62640936955898,213.04063415527344,57365700
2025-05-02,205.82009105417706,206.71892151455646,201.89524528415058,205.08106994628906,101010600
2025-05-05,202.83402512431957,203.83271551835597,197.9504297070337,198.62953186035156,69018500
2025-05-06,197.9504203457911,200.38721199140494,196.7619763948813,198.25001525878906,51216500
2025-05-07,198.90915494694545,199.1788056079939,192.99690991055434,195.99298095703125,68536700
2025-05-08,197.46106353953903,199.78801395815432,194.42503624466005,197.2313690185547,50478900
2025-05-09,198.739389980464,200.2773664943336,197.28129528859796,198.27000427246094,36453900
2025-05-12,210.97000122070312,211.27000427246094,206.75,210.7899932861328,63775800
2025-05-13,210.42999267578125,213.39999389648438,209.0,212.92999267578125,51909300
2025-05-14,212.42999267578125,213.94000244140625,210.5800018310547,212.3300018310547,49325800
2025-05-15,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,45029500
2025-05-16,212.36000061035156,212.57000732421875,209.77000427246094,211.25999450683594,53659100
